100kb+,1Mb+,200kb+,300kb+,400kb+,500kb+,DeepConsensus_version,Gb,MM_tag,N25,N50,N75,accession,assembly,basecaller,basecaller_model,basecaller_version,bioproject_accession,biosample_accession,ccs_algorithm,coverage,data_type,design_description,filename,filetype,generator_contact,generator_facility,instrument_model,library_ID,library_layout,library_selection,library_source,library_strategy,max,mean,min,notes,ntsm_result,ntsm_score,path,platform,polymerase_version,quartile_25,quartile_50,quartile_75,read_N50,result,sample,sample_ID,seq_kit,seq_plate_chemistry_version,shear_method,size_selection,study,title,total_Gbp,total_bp,total_reads,whales,Sample,Accession,familyID,Subpopulation,Superpopulation,Production Year
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242216,,N/A,N/A,N/A,PRJNA701308,SAMN37797110,N/A,3.08,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG03470-2_S26_L004_R2_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG03470-2_S26_L004,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.579355,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG03470,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG03470,9.5596399,9559639900.0,N/A,N/A,HG03470,SAMN37797110,SL56,MSL,AFR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242335,,N/A,N/A,N/A,PRJNA701308,SAMN37797111,N/A,2.18,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG03742-1_S24_L001_R2_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG03742-1_S24_L001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.651477,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG03742,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG03742,6.753334539,6753334539.0,N/A,N/A,HG03742,SAMN37797111,,ITU,SAS,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242334,,N/A,N/A,N/A,PRJNA701308,SAMN37797111,N/A,2.28,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG03742-1_S24_L002_R2_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG03742-1_S24_L002,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.610281,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG03742,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG03742,7.070557687,7070557687.0,N/A,N/A,HG03742,SAMN37797111,,ITU,SAS,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242332,,N/A,N/A,N/A,PRJNA701308,SAMN37797111,N/A,2.28,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG03742-1_S24_L003_R2_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG03742-1_S24_L003,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.655928,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG03742,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG03742,7.069350018,7069350018.0,N/A,N/A,HG03742,SAMN37797111,,ITU,SAS,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242331,,N/A,N/A,N/A,PRJNA701308,SAMN37797111,N/A,2.26,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG03742-1_S24_L004_R2_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG03742-1_S24_L004,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.636586,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG03742,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG03742,7.012492701,7012492701.0,N/A,N/A,HG03742,SAMN37797111,,ITU,SAS,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242330,,N/A,N/A,N/A,PRJNA701308,SAMN37797111,N/A,6.09,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG03742-2_S32_L001_R2_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG03742-2_S32_L001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.510251,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG03742,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG03742,18.875657885,18875657885.0,N/A,N/A,HG03742,SAMN37797111,,ITU,SAS,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242329,,N/A,N/A,N/A,PRJNA701308,SAMN37797111,N/A,6.63,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG03742-2_S32_L002_R2_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG03742-2_S32_L002,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.52019,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG03742,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG03742,20.556396284,20556396284.0,N/A,N/A,HG03742,SAMN37797111,,ITU,SAS,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242328,,N/A,N/A,N/A,PRJNA701308,SAMN37797111,N/A,6.63,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG03742-2_S32_L003_R2_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG03742-2_S32_L003,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.5459,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG03742,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG03742,20.565643644,20565643644.0,N/A,N/A,HG03742,SAMN37797111,,ITU,SAS,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242327,,N/A,N/A,N/A,PRJNA701308,SAMN37797111,N/A,6.59,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG03742-2_S32_L004_R2_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG03742-2_S32_L004,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.520253,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG03742,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG03742,20.430728922,20430728922.0,N/A,N/A,HG03742,SAMN37797111,,ITU,SAS,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242326,,N/A,N/A,N/A,PRJNA701308,SAMN37797112,N/A,2.87,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG03792-1_S19_L001_R2_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG03792-1_S19_L001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.620963,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG03792,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG03792,8.894046349,8894046349.0,N/A,N/A,HG03792,SAMN37797112,,ITU,SAS,YR4
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242325,,N/A,N/A,N/A,PRJNA701308,SAMN37797112,N/A,3.15,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG03792-1_S19_L002_R2_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG03792-1_S19_L002,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.60376,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG03792,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG03792,9.758351664,9758351664.0,N/A,N/A,HG03792,SAMN37797112,,ITU,SAS,YR4
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242324,,N/A,N/A,N/A,PRJNA701308,SAMN37797112,N/A,3.15,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG03792-1_S19_L003_R2_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG03792-1_S19_L003,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.60274,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG03792,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG03792,9.768393628,9768393628.0,N/A,N/A,HG03792,SAMN37797112,,ITU,SAS,YR4
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242323,,N/A,N/A,N/A,PRJNA701308,SAMN37797112,N/A,3.1,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG03792-1_S19_L004_R2_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG03792-1_S19_L004,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.602769,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG03792,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG03792,9.614885527,9614885527.0,N/A,N/A,HG03792,SAMN37797112,,ITU,SAS,YR4
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242320,,N/A,N/A,N/A,PRJNA701308,SAMN37797112,N/A,2.94,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG03792-2_S27_L001_R2_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG03792-2_S27_L001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.607542,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG03792,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG03792,9.122210111,9122210111.0,N/A,N/A,HG03792,SAMN37797112,,ITU,SAS,YR4
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242316,,N/A,N/A,N/A,PRJNA701308,SAMN37797112,N/A,3.23,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG03792-2_S27_L002_R2_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG03792-2_S27_L002,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.647329,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG03792,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG03792,10.003875652,10003875652.0,N/A,N/A,HG03792,SAMN37797112,,ITU,SAS,YR4
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242172,,N/A,N/A,N/A,PRJNA701308,SAMN37797112,N/A,3.23,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG03792-2_S27_L003_R2_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG03792-2_S27_L003,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.620433,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG03792,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG03792,10.007585293,10007585293.0,N/A,N/A,HG03792,SAMN37797112,,ITU,SAS,YR4
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242171,,N/A,N/A,N/A,PRJNA701308,SAMN37797112,N/A,3.17,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG03792-2_S27_L004_R2_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG03792-2_S27_L004,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.605631,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG03792,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG03792,9.833727946,9833727946.0,N/A,N/A,HG03792,SAMN37797112,,ITU,SAS,YR4
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242315,,N/A,N/A,N/A,PRJNA701308,SAMN33758796,N/A,4.09,unaligned reads,Illumina Sequencing of Omni-C Libraries,NA18522-1_S8_L001_R2_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,NA18522-1_S8_L001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.574618,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA18522,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of NA18522,12.669946134,12669946134.0,N/A,N/A,NA18522,SAMN33758796,Y016,YRI,AFR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242167,,N/A,N/A,N/A,PRJNA701308,SAMN33758796,N/A,4.22,unaligned reads,Illumina Sequencing of Omni-C Libraries,NA18522-1_S8_L002_R2_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,NA18522-1_S8_L002,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.53355,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA18522,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of NA18522,13.094893749,13094893749.0,N/A,N/A,NA18522,SAMN33758796,Y016,YRI,AFR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242166,,N/A,N/A,N/A,PRJNA701308,SAMN33758796,N/A,3.93,unaligned reads,Illumina Sequencing of Omni-C Libraries,NA18522-1_S8_L003_R2_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,NA18522-1_S8_L003,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.543095,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA18522,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of NA18522,12.18721396,12187213960.0,N/A,N/A,NA18522,SAMN33758796,Y016,YRI,AFR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242165,,N/A,N/A,N/A,PRJNA701308,SAMN33758796,N/A,4.07,unaligned reads,Illumina Sequencing of Omni-C Libraries,NA18522-1_S8_L004_R2_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,NA18522-1_S8_L004,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.591182,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA18522,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of NA18522,12.629954975,12629954975.0,N/A,N/A,NA18522,SAMN33758796,Y016,YRI,AFR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242164,,N/A,N/A,N/A,PRJNA701308,SAMN33758796,N/A,5.26,unaligned reads,Illumina Sequencing of Omni-C Libraries,NA18522-2_S16_L001_R2_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,NA18522-2_S16_L001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.504895,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA18522,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of NA18522,16.312805022,16312805022.0,N/A,N/A,NA18522,SAMN33758796,Y016,YRI,AFR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242163,,N/A,N/A,N/A,PRJNA701308,SAMN33758796,N/A,5.39,unaligned reads,Illumina Sequencing of Omni-C Libraries,NA18522-2_S16_L002_R2_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,NA18522-2_S16_L002,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.512093,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA18522,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of NA18522,16.71679122,16716791220.0,N/A,N/A,NA18522,SAMN33758796,Y016,YRI,AFR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242313,,N/A,N/A,N/A,PRJNA701308,SAMN33758796,N/A,5.03,unaligned reads,Illumina Sequencing of Omni-C Libraries,NA18522-2_S16_L003_R2_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,NA18522-2_S16_L003,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.55818,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA18522,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of NA18522,15.608095066,15608095066.0,N/A,N/A,NA18522,SAMN33758796,Y016,YRI,AFR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242312,,N/A,N/A,N/A,PRJNA701308,SAMN33758796,N/A,5.21,unaligned reads,Illumina Sequencing of Omni-C Libraries,NA18522-2_S16_L004_R2_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,NA18522-2_S16_L004,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.539815,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA18522,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of NA18522,16.149401435,16149401435.0,N/A,N/A,NA18522,SAMN33758796,Y016,YRI,AFR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242159,,N/A,N/A,N/A,PRJNA701308,SAMN37797086,N/A,3.59,unaligned reads,Illumina Sequencing of Omni-C Libraries,NA18570-1_S6_L001_R2_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,NA18570-1_S6_L001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.595608,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA18570,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of NA18570,11.127181174,11127181174.0,N/A,N/A,NA18570,SAMN37797086,,CHB,EAS,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242158,,N/A,N/A,N/A,PRJNA701308,SAMN37797086,N/A,3.9,unaligned reads,Illumina Sequencing of Omni-C Libraries,NA18570-1_S6_L002_R2_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,NA18570-1_S6_L002,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.578868,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA18570,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of NA18570,12.087460014,12087460014.0,N/A,N/A,NA18570,SAMN37797086,,CHB,EAS,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242157,,N/A,N/A,N/A,PRJNA701308,SAMN37797086,N/A,3.91,unaligned reads,Illumina Sequencing of Omni-C Libraries,NA18570-1_S6_L003_R2_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,NA18570-1_S6_L003,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.595106,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA18570,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of NA18570,12.10600597,12106005970.0,N/A,N/A,NA18570,SAMN37797086,,CHB,EAS,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242156,,N/A,N/A,N/A,PRJNA701308,SAMN37797086,N/A,3.85,unaligned reads,Illumina Sequencing of Omni-C Libraries,NA18570-1_S6_L004_R2_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,NA18570-1_S6_L004,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.542617,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA18570,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of NA18570,11.931251919,11931251919.0,N/A,N/A,NA18570,SAMN37797086,,CHB,EAS,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242155,,N/A,N/A,N/A,PRJNA701308,SAMN37797086,N/A,3.25,unaligned reads,Illumina Sequencing of Omni-C Libraries,NA18570-2_S14_L001_R2_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,NA18570-2_S14_L001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.609444,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA18570,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of NA18570,10.077433892,10077433892.0,N/A,N/A,NA18570,SAMN37797086,,CHB,EAS,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242154,,N/A,N/A,N/A,PRJNA701308,SAMN37797086,N/A,3.49,unaligned reads,Illumina Sequencing of Omni-C Libraries,NA18570-2_S14_L002_R2_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,NA18570-2_S14_L002,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.593433,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA18570,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of NA18570,10.832689311,10832689311.0,N/A,N/A,NA18570,SAMN37797086,,CHB,EAS,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242153,,N/A,N/A,N/A,PRJNA701308,SAMN37797086,N/A,3.49,unaligned reads,Illumina Sequencing of Omni-C Libraries,NA18570-2_S14_L003_R2_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,NA18570-2_S14_L003,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.607336,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA18570,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of NA18570,10.826886349,10826886349.0,N/A,N/A,NA18570,SAMN37797086,,CHB,EAS,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242528,,N/A,N/A,N/A,PRJNA701308,SAMN37797086,N/A,3.44,unaligned reads,Illumina Sequencing of Omni-C Libraries,NA18570-2_S14_L004_R2_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,NA18570-2_S14_L004,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.572355,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA18570,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of NA18570,10.674467316,10674467316.0,N/A,N/A,NA18570,SAMN37797086,,CHB,EAS,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242174,,N/A,N/A,N/A,PRJNA701308,SAMN33621960,N/A,4.68,unaligned reads,Illumina Sequencing of Omni-C Libraries,NA18612-1_S2_L001_R2_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,NA18612-1_S2_L001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.563411,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA18612,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of NA18612,14.50409675,14504096750.0,N/A,N/A,NA18612,SAMN33621960,,CHB,EAS,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242173,,N/A,N/A,N/A,PRJNA701308,SAMN33621960,N/A,4.79,unaligned reads,Illumina Sequencing of Omni-C Libraries,NA18612-1_S2_L002_R2_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,NA18612-1_S2_L002,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.52518,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA18612,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of NA18612,14.838209778,14838209778.0,N/A,N/A,NA18612,SAMN33621960,,CHB,EAS,YR3
